accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001225208-24-000393,2024-01-04,2024-01-02,2024-01-04T17:32:24.000Z,,4,,,,6130,0,0,xslF345X05/doc4.xml,
0001225208-24-000392,2024-01-04,2024-01-02,2024-01-04T17:32:17.000Z,,4,,,,6069,0,0,xslF345X05/doc4.xml,
0001225208-24-000390,2024-01-04,2024-01-02,2024-01-04T17:32:17.000Z,,4,,,,6098,0,0,xslF345X05/doc4.xml,
0001225208-24-000391,2024-01-04,2024-01-02,2024-01-04T17:32:13.000Z,,4,,,,6094,0,0,xslF345X05/doc4.xml,
0001225208-24-000389,2024-01-04,2024-01-02,2024-01-04T17:32:10.000Z,,4,,,,6065,0,0,xslF345X05/doc4.xml,
0001225208-24-000241,2024-01-03,2024-01-01,2024-01-03T16:34:48.000Z,,4,,,,6981,0,0,xslF345X05/doc4.xml,
0001225208-24-000240,2024-01-03,2024-01-01,2024-01-03T16:34:45.000Z,,4,,,,7004,0,0,xslF345X05/doc4.xml,
0001225208-24-000238,2024-01-03,2024-01-01,2024-01-03T16:34:45.000Z,,4,,,,6980,0,0,xslF345X05/doc4.xml,
0001225208-24-000237,2024-01-03,2024-01-01,2024-01-03T16:34:40.000Z,,4,,,,6977,0,0,xslF345X05/doc4.xml,
0001225208-24-000239,2024-01-03,2024-01-01,2024-01-03T16:34:36.000Z,,4,,,,7654,0,0,xslF345X05/doc4.xml,
0001225208-24-000236,2024-01-03,2024-01-01,2024-01-03T16:34:29.000Z,,4,,,,7029,0,0,xslF345X05/doc4.xml,
0001225208-24-000235,2024-01-03,2024-01-01,2024-01-03T16:33:08.000Z,,3,,,,17252,0,0,xslF345X02/doc3.xml,
0001225208-24-000233,2024-01-03,2024-01-01,2024-01-03T16:32:36.000Z,,3,,,,16269,0,0,xslF345X02/doc3.xml,
0001225208-24-000067,2024-01-02,2023-12-28,2024-01-02T16:33:01.000Z,,4,,,,9558,0,0,xslF345X05/doc4.xml,
0001209191-23-059425,2023-12-21,2023-12-19,2023-12-21T16:05:13.000Z,34,4,811-23333,231505297,,19168,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001225208-23-011266,2023-12-19,2023-12-18,2023-12-19T16:16:43.000Z,34,4,001-41504,231497507,,5168,0,0,xslF345X05/doc4.xml,
0001225208-23-011241,2023-12-18,2023-12-14,2023-12-18T18:01:35.000Z,,4,,,,4640,0,0,xslF345X05/doc4.xml,
0001225208-23-011240,2023-12-18,2023-12-15,2023-12-18T18:01:35.000Z,,4,,,,5736,0,0,xslF345X05/doc4.xml,
0001225208-23-010976,2023-12-12,2023-12-09,2023-12-12T17:04:01.000Z,,4,,,,8492,0,0,xslF345X05/doc4.xml,
0001225208-23-010975,2023-12-12,2023-12-08,2023-12-12T17:03:55.000Z,,4,,,,8869,0,0,xslF345X05/doc4.xml,
0001225208-23-010751,2023-12-05,2023-12-01,2023-12-05T16:24:27.000Z,,4,,,,5911,0,0,xslF345X05/doc4.xml,
0001225208-23-010749,2023-12-05,2023-12-01,2023-12-05T16:20:20.000Z,,3,,,,6817,0,0,xslF345X02/doc3.xml,
0001225208-23-010748,2023-12-05,2023-12-05,2023-12-05T16:19:11.000Z,34,4,001-41504,231466828,,4865,0,0,xslF345X05/doc4.xml,
0000005272-23-000056,2023-12-04,2023-12-04,2023-12-04T09:05:43.000Z,34,8-K,001-08787,231461484,"5.02,9.01",231947,1,1,aig-20231204.htm,8-K
0000005272-23-000052,2023-11-21,2023-11-21,2023-11-21T16:34:59.000Z,34,8-K,001-08787,231428697,"8.01,9.01",307213,1,1,aig-20231121.htm,8-K
0001104659-23-116794,2023-11-13,2023-09-30,2023-11-13T08:39:56.000Z,34,13F-HR,028-00219,231395465,,1517040,0,0,xslForm13F_X02/primary_doc.xml,
0001225208-23-010166,2023-11-13,2023-11-08,2023-11-13T06:01:06.000Z,34,4,001-41504,231394537,,4865,0,0,xslF345X05/doc4.xml,
0001969223-23-000422,2023-11-08,,2023-11-08T13:05:57.000Z,33,144,001-08787,231386947,,4476,0,0,xsl144X01/primary_doc.xml,
0000005272-23-000048,2023-11-06,2023-11-06,2023-11-06T16:24:41.000Z,34,8-K,001-08787,231380296,"8.01,9.01",289075,1,1,aig-20231106.htm,8-K
0000005272-23-000045,2023-11-02,2023-09-30,2023-11-02T11:35:42.000Z,34,10-Q,001-08787,231370801,,51516384,1,1,aig-20230930.htm,10-Q
0000005272-23-000041,2023-11-01,2023-11-01,2023-11-01T17:01:29.000Z,34,8-K,001-08787,231369069,"2.02,8.01,9.01",1038542,1,1,aig-20231101.htm,8-K
0001225208-23-009584,2023-10-18,2023-10-16,2023-10-18T16:22:49.000Z,,4,,,,5708,0,0,xslF345X05/doc4.xml,
0001225208-23-009583,2023-10-18,2023-10-16,2023-10-18T16:19:39.000Z,,3,,,,6923,0,0,xslF345X02/doc3.xml,
0001209191-23-052945,2023-10-17,2023-10-15,2023-10-17T16:05:55.000Z,34,4,811-22546,231329660,,9433,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001225208-23-009279,2023-10-03,2023-10-02,2023-10-03T19:06:43.000Z,,4,,,,5991,0,0,xslF345X05/doc4.xml,
0001225208-23-009278,2023-10-03,2023-10-02,2023-10-03T19:06:42.000Z,,4,,,,6004,0,0,xslF345X05/doc4.xml,
0001225208-23-009281,2023-10-03,2023-09-29,2023-10-03T19:06:37.000Z,,4,,,,5710,0,0,xslF345X05/doc4.xml,
0001225208-23-009277,2023-10-03,2023-10-02,2023-10-03T19:06:37.000Z,,4,,,,5976,0,0,xslF345X05/doc4.xml,
0001225208-23-009280,2023-10-03,2023-10-02,2023-10-03T19:06:33.000Z,,4,,,,6030,0,0,xslF345X05/doc4.xml,
0001225208-23-009276,2023-10-03,2023-10-02,2023-10-03T19:06:28.000Z,,4,,,,6030,0,0,xslF345X05/doc4.xml,
0001225208-23-009275,2023-10-03,2023-10-02,2023-10-03T19:06:24.000Z,,4,,,,6067,0,0,xslF345X05/doc4.xml,
0001225208-23-009274,2023-10-03,2023-10-02,2023-10-03T19:06:15.000Z,,4,,,,6106,0,0,xslF345X05/doc4.xml,
0001225208-23-009273,2023-10-03,2023-10-02,2023-10-03T19:06:11.000Z,,4,,,,8809,0,0,xslF345X05/doc4.xml,
0001225208-23-009272,2023-10-03,2023-10-02,2023-10-03T19:06:06.000Z,,4,,,,6100,0,0,xslF345X05/doc4.xml,
0000950103-23-013440,2023-09-08,2023-09-01,2023-09-08T16:15:56.000Z,34,8-K,001-08787,231245467,"5.02,9.01",274083,1,1,dp199799_8k.htm,FORM 8-K
0000005272-23-000036,2023-08-17,2023-08-17,2023-08-17T16:27:15.000Z,34,8-K,001-08787,231182275,"8.01,9.01",230155,1,1,aig-20230817.htm,8-K
0001225208-23-008209,2023-08-11,2023-08-09,2023-08-11T16:20:10.000Z,,4,,,,4493,0,0,xslF345X05/doc4.xml,
0001209191-23-044862,2023-08-07,2023-08-04,2023-08-07T17:43:54.000Z,34,4/A,811-23333,231148723,,18373,0,0,xslF345X05/doc4a.xml,FORM 4/A SUBMISSION
0001209191-23-044804,2023-08-07,2023-08-04,2023-08-07T16:15:42.000Z,34,4,811-23333,231147816,,18183,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001104659-23-087867,2023-08-04,2023-06-30,2023-08-04T16:28:32.000Z,34,13F-HR,028-00219,231144417,,1524854,0,0,xslForm13F_X02/primary_doc.xml,
0000005272-23-000033,2023-08-02,2023-06-30,2023-08-02T12:11:09.000Z,34,10-Q,001-08787,231134461,,50288769,1,1,aig-20230630.htm,10-Q
0000005272-23-000029,2023-08-01,2023-08-01,2023-08-01T16:21:09.000Z,34,8-K,001-08787,231132021,"2.02,8.01,9.01",987279,1,1,aig-20230801.htm,8-K
0001225208-23-007694,2023-07-26,2014-06-05,2023-07-26T17:07:14.000Z,,4,,,,52403,0,0,xslF345X05/doc4.xml,
0001209191-23-043438,2023-07-26,2023-07-24,2023-07-26T17:04:06.000Z,34,4,811-04915,231114322,,7542,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001225208-23-007366,2023-07-06,2023-07-03,2023-07-06T16:22:54.000Z,,4,,,,6102,0,0,xslF345X04/doc4.xml,
0001225208-23-007368,2023-07-06,2023-07-03,2023-07-06T16:22:49.000Z,,4,,,,8805,0,0,xslF345X04/doc4.xml,
0001225208-23-007365,2023-07-06,2023-07-03,2023-07-06T16:22:44.000Z,,4,,,,5987,0,0,xslF345X04/doc4.xml,
0001225208-23-007364,2023-07-06,2023-07-03,2023-07-06T16:22:43.000Z,,4,,,,5996,0,0,xslF345X04/doc4.xml,
0001225208-23-007367,2023-07-06,2023-07-03,2023-07-06T16:22:42.000Z,,4,,,,6022,0,0,xslF345X04/doc4.xml,
0001225208-23-007363,2023-07-06,2023-07-03,2023-07-06T16:22:40.000Z,,4,,,,6096,0,0,xslF345X04/doc4.xml,
0001225208-23-007362,2023-07-06,2023-07-03,2023-07-06T16:22:37.000Z,,4,,,,6026,0,0,xslF345X04/doc4.xml,
0001225208-23-007361,2023-07-06,2023-07-03,2023-07-06T16:22:31.000Z,,4,,,,6063,0,0,xslF345X04/doc4.xml,
0001225208-23-007360,2023-07-06,2023-07-03,2023-07-06T16:22:28.000Z,,4,,,,5968,0,0,xslF345X04/doc4.xml,
0001225208-23-007231,2023-07-05,2023-06-30,2023-07-05T16:16:28.000Z,,4,,,,5706,0,0,xslF345X04/doc4.xml,
0000950103-23-009190,2023-06-23,2023-06-23,2023-06-23T16:37:03.000Z,34,8-K,001-08787,231038277,"5.02,9.01",284147,1,1,dp195671_8k.htm,FORM 8-K
0001225208-23-006974,2023-06-23,2023-06-23,2023-06-23T16:26:24.000Z,34,4,001-41504,231038057,,5090,0,0,xslF345X04/doc4.xml,
0001225208-23-006940,2023-06-21,2023-06-19,2023-06-21T16:28:53.000Z,,4,,,,5629,0,0,xslF345X04/doc4.xml,
0001209191-23-037824,2023-06-16,2023-06-14,2023-06-16T16:16:10.000Z,34,4,811-23319,231021327,,12743,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001225208-23-006741,2023-06-12,2023-06-12,2023-06-12T17:05:16.000Z,34,4,001-41504,231008940,,4871,0,0,xslF345X04/doc4.xml,
0001104659-23-070354,2023-06-12,,2023-06-12T16:15:19.000Z,,SC 13G/A,,,,51306,0,0,tm2318413d1_sc13ga.htm,SC 13G/A
0001104659-23-063215,2023-05-22,2023-05-22,2023-05-22T17:07:01.000Z,34,8-K,001-08787,23945489,"7.01,8.01,9.01",1143835,1,1,tm2316436d1_8k.htm,FORM 8-K
0001104659-23-060937,2023-05-15,2023-05-10,2023-05-15T17:14:04.000Z,34,8-K,001-08787,23924274,5.07,269060,1,1,tm2315606d1_8k.htm,FORM 8-K
0001104659-23-059802,2023-05-12,2023-03-31,2023-05-12T16:36:16.000Z,34,13F-HR,028-00219,23916468,,1483561,0,0,xslForm13F_X02/primary_doc.xml,
0001225208-23-005825,2023-05-12,2023-05-10,2023-05-12T16:17:15.000Z,,4,,,,6102,0,0,xslF345X04/doc4.xml,
0001225208-23-005824,2023-05-12,2023-05-10,2023-05-12T16:17:08.000Z,,4,,,,6129,0,0,xslF345X04/doc4.xml,
0001225208-23-005823,2023-05-12,2023-05-10,2023-05-12T16:17:05.000Z,,4,,,,6063,0,0,xslF345X04/doc4.xml,
0001225208-23-005821,2023-05-12,2023-05-10,2023-05-12T16:17:03.000Z,,4,,,,6076,0,0,xslF345X04/doc4.xml,
0001225208-23-005822,2023-05-12,2023-05-10,2023-05-12T16:16:59.000Z,,4,,,,6072,0,0,xslF345X04/doc4.xml,
0001225208-23-005818,2023-05-12,2023-05-10,2023-05-12T16:16:53.000Z,,4,,,,6092,0,0,xslF345X04/doc4.xml,
0001225208-23-005820,2023-05-12,2023-05-10,2023-05-12T16:16:50.000Z,,4,,,,6123,0,0,xslF345X04/doc4.xml,
0001225208-23-005819,2023-05-12,2023-05-10,2023-05-12T16:16:47.000Z,,4,,,,6010,0,0,xslF345X04/doc4.xml,
0001225208-23-005817,2023-05-12,2023-05-10,2023-05-12T16:16:36.000Z,,4,,,,6048,0,0,xslF345X04/doc4.xml,
0001209191-23-029030,2023-05-12,2023-03-31,2023-05-12T16:15:24.000Z,34,5,811-23333,23915892,,9521,0,0,xslF345X04/doc5.xml,FORM 5 SUBMISSION
0000005272-23-000023,2023-05-05,2023-03-31,2023-05-05T16:36:39.000Z,34,10-Q,001-08787,23894488,,45686835,1,1,aig-20230331.htm,10-Q
0001104659-23-056045,2023-05-04,2023-05-04,2023-05-04T16:32:55.000Z,34,8-K,001-08787,23889359,"2.02,8.01,9.01",819219,1,1,tm2314544d1_8k.htm,FORM 8-K
0001104659-23-056025,2023-05-04,2023-05-04,2023-05-04T16:20:59.000Z,34,8-K,001-08787,23889101,7.01,257939,1,1,tm2313303d1_8k.htm,FORM 8-K
0001209191-23-024656,2023-04-18,2023-04-16,2023-04-18T16:18:21.000Z,34,4,811-21593,23827063,,6525,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
